Lag,variable,value,ID,age,exp,sex,trial_num
-3,1.0,-0.23594906520253478,H27-19,1394,demo,M,1
-2,1.0,0.06296900811758793,H27-19,1394,demo,M,1
-1,1.0,-0.10949300389460324,H27-19,1394,demo,M,1
0,1.0,0.05375956579991842,H27-19,1394,demo,M,1
1,1.0,0.007454898179639784,H27-19,1394,demo,M,1
2,1.0,-0.5546960523051089,H27-19,1394,demo,M,1
3,1.0,-0.13972440113498605,H27-19,1394,demo,M,1
-3,2.82,-0.11230431146224831,H27-19,1394,demo,M,1
-2,2.82,0.20834430637627324,H27-19,1394,demo,M,1
-1,2.82,0.20370950700038717,H27-19,1394,demo,M,1
0,2.82,-0.023003022446690714,H27-19,1394,demo,M,1
1,2.82,0.0740532656017372,H27-19,1394,demo,M,1
2,2.82,-0.4758024506395654,H27-19,1394,demo,M,1
3,2.82,-0.0506659379092859,H27-19,1394,demo,M,1
-3,4.64,-0.07962783138809476,H27-19,1394,demo,M,1
-2,4.64,0.1734199697716016,H27-19,1394,demo,M,1
-1,4.64,0.20113183580840382,H27-19,1394,demo,M,1
0,4.64,-0.07353957577735462,H27-19,1394,demo,M,1
1,4.64,-0.25118765133556364,H27-19,1394,demo,M,1
2,4.64,-0.27675816235540285,H27-19,1394,demo,M,1
3,4.64,0.2947856514950182,H27-19,1394,demo,M,1
-3,6.46,0.16498223860430575,H27-19,1394,demo,M,1
-2,6.46,0.11386972149067567,H27-19,1394,demo,M,1
-1,6.46,0.04891375201952704,H27-19,1394,demo,M,1
0,6.46,-0.08737041021401717,H27-19,1394,demo,M,1
1,6.46,-0.2638767467033712,H27-19,1394,demo,M,1
2,6.46,-0.3410196615278533,H27-19,1394,demo,M,1
3,6.46,0.3882647189749287,H27-19,1394,demo,M,1
-3,8.28,0.13982896420240812,H27-19,1394,demo,M,1
-2,8.28,0.060336231769661866,H27-19,1394,demo,M,1
-1,8.28,0.044370946980070235,H27-19,1394,demo,M,1
0,8.28,-0.11082871921635695,H27-19,1394,demo,M,1
1,8.28,-0.3238318486240807,H27-19,1394,demo,M,1
2,8.28,-0.3592373782420599,H27-19,1394,demo,M,1
3,8.28,0.32798953950378446,H27-19,1394,demo,M,1
-3,10.1,0.24219205335848204,H27-19,1394,demo,M,1
-2,10.1,0.1241955314348855,H27-19,1394,demo,M,1
-1,10.1,0.056403257952648875,H27-19,1394,demo,M,1
0,10.1,-0.2999072784420868,H27-19,1394,demo,M,1
1,10.1,-0.3293801637100019,H27-19,1394,demo,M,1
2,10.1,-0.3785568399799992,H27-19,1394,demo,M,1
3,10.1,0.34108880294055444,H27-19,1394,demo,M,1
-3,11.92,0.22022237029680422,H27-19,1394,demo,M,1
-2,11.92,0.1041870838329946,H27-19,1394,demo,M,1
-1,11.92,0.10359925050880826,H27-19,1394,demo,M,1
0,11.92,-0.2645554864238058,H27-19,1394,demo,M,1
1,11.92,-0.3767178932194334,H27-19,1394,demo,M,1
2,11.92,-0.37231499853219585,H27-19,1394,demo,M,1
3,11.92,0.39393916950865965,H27-19,1394,demo,M,1
-3,13.74,0.1782017455508165,H27-19,1394,demo,M,1
-2,13.74,0.13832487896193912,H27-19,1394,demo,M,1
-1,13.74,0.18068451909785366,H27-19,1394,demo,M,1
0,13.74,-0.20651883193670434,H27-19,1394,demo,M,1
1,13.74,-0.33715662791570455,H27-19,1394,demo,M,1
2,13.74,-0.44540854558166837,H27-19,1394,demo,M,1
3,13.74,0.4221909999497786,H27-19,1394,demo,M,1
-3,15.56,0.16824293658516598,H27-19,1394,demo,M,1
-2,15.56,0.05335578999818515,H27-19,1394,demo,M,1
-1,15.56,0.09306474019294,H27-19,1394,demo,M,1
0,15.56,-0.21957793194680772,H27-19,1394,demo,M,1
1,15.56,-0.34632866878124025,H27-19,1394,demo,M,1
2,15.56,-0.43352871927266035,H27-19,1394,demo,M,1
3,15.56,0.2454672380397276,H27-19,1394,demo,M,1
-3,17.38,0.0750811142793093,H27-19,1394,demo,M,1
-2,17.38,-0.06538883735077015,H27-19,1394,demo,M,1
-1,17.38,0.11062743756101988,H27-19,1394,demo,M,1
0,17.38,-0.34674183458490976,H27-19,1394,demo,M,1
1,17.38,-0.4684062302617761,H27-19,1394,demo,M,1
2,17.38,-0.39860396038880785,H27-19,1394,demo,M,1
3,17.38,0.2959450299941241,H27-19,1394,demo,M,1
-3,19.2,0.04215563830854487,H27-19,1394,demo,M,1
-2,19.2,-0.05252072958168829,H27-19,1394,demo,M,1
-1,19.2,0.08788311821067044,H27-19,1394,demo,M,1
0,19.2,-0.6725728616768111,H27-19,1394,demo,M,1
1,19.2,-0.09543834244806984,H27-19,1394,demo,M,1
2,19.2,-0.0364880083668409,H27-19,1394,demo,M,1
3,19.2,0.10776285897542795,H27-19,1394,demo,M,1
