Lag,variable,value,ID,age,exp,first_turn,sex,trial_num
-1,1.0,0.9013272220328047,H27-15,1111,demo,L,F,1
0,1.0,0.30690147763297776,H27-15,1111,demo,L,F,1
1,1.0,-0.17445860499832547,H27-15,1111,demo,L,F,1
-1,3.33,0.07614048216741293,H27-15,1111,demo,L,F,1
0,3.33,-0.3597767879655388,H27-15,1111,demo,L,F,1
1,3.33,0.11652995114016657,H27-15,1111,demo,L,F,1
-1,5.66,-0.3905166278196342,H27-15,1111,demo,L,F,1
0,5.66,-0.6593208754802489,H27-15,1111,demo,L,F,1
1,5.66,-0.18482298833142394,H27-15,1111,demo,L,F,1
-1,7.99,-0.3905166278196341,H27-15,1111,demo,L,F,1
0,7.99,-0.7463136760955233,H27-15,1111,demo,L,F,1
1,7.99,-0.25272711040892853,H27-15,1111,demo,L,F,1
-1,10.32,-0.2393260999124884,H27-15,1111,demo,L,F,1
0,10.32,-0.5719986381406127,H27-15,1111,demo,L,F,1
1,10.32,-0.5635220743134631,H27-15,1111,demo,L,F,1
-1,12.65,-0.02465920204133398,H27-15,1111,demo,L,F,1
0,12.65,-0.34699020015305715,H27-15,1111,demo,L,F,1
1,12.65,-0.570335851401832,H27-15,1111,demo,L,F,1
-1,14.98,0.24408294812492645,H27-15,1111,demo,L,F,1
0,14.98,0.03223354547496955,H27-15,1111,demo,L,F,1
1,14.98,-0.37164940219439124,H27-15,1111,demo,L,F,1
-1,17.31,0.24408294812492648,H27-15,1111,demo,L,F,1
0,17.31,0.050170186235508174,H27-15,1111,demo,L,F,1
1,17.31,0.07554810145191307,H27-15,1111,demo,L,F,1
-1,19.64,0.254169581628917,H27-15,1111,demo,L,F,1
0,19.64,0.09434849330578371,H27-15,1111,demo,L,F,1
1,19.64,0.11387923236589814,H27-15,1111,demo,L,F,1
