Lag,variable,value,ID,age,exp,sex,trial_num
-3,1.0,-0.40995556495322655,H27-16,1093,demo,M,1
-2,1.0,-0.5269789442264963,H27-16,1093,demo,M,1
-1,1.0,-0.39370525743113177,H27-16,1093,demo,M,1
0,1.0,-0.30575380047747397,H27-16,1093,demo,M,1
1,1.0,0.3854543887469826,H27-16,1093,demo,M,1
2,1.0,0.6498316925568846,H27-16,1093,demo,M,1
3,1.0,0.1502637750329812,H27-16,1093,demo,M,1
-3,2.29,-0.2698268496597857,H27-16,1093,demo,M,1
-2,2.29,-0.34937577011117643,H27-16,1093,demo,M,1
-1,2.29,0.14863357012100875,H27-16,1093,demo,M,1
0,2.29,-0.02059762576169826,H27-16,1093,demo,M,1
1,2.29,0.3057606936398693,H27-16,1093,demo,M,1
2,2.29,0.4486963478416477,H27-16,1093,demo,M,1
3,2.29,-0.08134677201812912,H27-16,1093,demo,M,1
-3,3.58,0.13725579138682675,H27-16,1093,demo,M,1
-2,3.58,0.7453559924999296,H27-16,1093,demo,M,1
-1,3.58,0.4205433995806199,H27-16,1093,demo,M,1
0,3.58,0.19533634622437324,H27-16,1093,demo,M,1
1,3.58,0.4990651693923707,H27-16,1093,demo,M,1
2,3.58,0.7640434005918378,H27-16,1093,demo,M,1
3,3.58,-0.3002521132910388,H27-16,1093,demo,M,1
-3,4.87,0.27264168907502406,H27-16,1093,demo,M,1
-2,4.87,0.8588903019563497,H27-16,1093,demo,M,1
-1,4.87,0.611464140274924,H27-16,1093,demo,M,1
0,4.87,0.3072658969143032,H27-16,1093,demo,M,1
1,4.87,0.34776035397153426,H27-16,1093,demo,M,1
2,4.87,0.7134426530935674,H27-16,1093,demo,M,1
3,4.87,0.5836340453557326,H27-16,1093,demo,M,1
-3,6.16,0.5210244413040191,H27-16,1093,demo,M,1
-2,6.16,0.9148667665936738,H27-16,1093,demo,M,1
-1,6.16,0.665391694197595,H27-16,1093,demo,M,1
0,6.16,0.3831168831168835,H27-16,1093,demo,M,1
1,6.16,0.4377627120359546,H27-16,1093,demo,M,1
2,6.16,0.5856368512499451,H27-16,1093,demo,M,1
3,6.16,0.45941285310130026,H27-16,1093,demo,M,1
-3,7.45,0.8329087232578473,H27-16,1093,demo,M,1
-2,7.45,0.8619855106899518,H27-16,1093,demo,M,1
-1,7.45,0.5106059651890327,H27-16,1093,demo,M,1
0,7.45,0.35857670519271206,H27-16,1093,demo,M,1
1,7.45,0.5681233316574702,H27-16,1093,demo,M,1
2,7.45,0.704171307325471,H27-16,1093,demo,M,1
3,7.45,0.36083063167127016,H27-16,1093,demo,M,1
-3,8.74,0.782123984165722,H27-16,1093,demo,M,1
-2,8.74,0.754454054137521,H27-16,1093,demo,M,1
-1,8.74,0.4739848116135657,H27-16,1093,demo,M,1
0,8.74,0.20467070274033525,H27-16,1093,demo,M,1
1,8.74,0.5082618918594111,H27-16,1093,demo,M,1
2,8.74,0.7998465094558819,H27-16,1093,demo,M,1
3,8.74,0.5248573228082559,H27-16,1093,demo,M,1
-3,10.03,0.5207635200985675,H27-16,1093,demo,M,1
-2,10.03,0.25458478803218954,H27-16,1093,demo,M,1
-1,10.03,0.08836219542952138,H27-16,1093,demo,M,1
0,10.03,-0.5356388737188206,H27-16,1093,demo,M,1
1,10.03,0.4369784268808858,H27-16,1093,demo,M,1
2,10.03,0.7144244979060052,H27-16,1093,demo,M,1
3,10.03,0.749339904369361,H27-16,1093,demo,M,1
-3,11.32,0.21208410986264928,H27-16,1093,demo,M,1
-2,11.32,0.01988640722859882,H27-16,1093,demo,M,1
-1,11.32,-0.4363434547889938,H27-16,1093,demo,M,1
0,11.32,-0.7993298395719617,H27-16,1093,demo,M,1
1,11.32,-0.22137111725779138,H27-16,1093,demo,M,1
2,11.32,0.6639473376110493,H27-16,1093,demo,M,1
3,11.32,0.730139202714923,H27-16,1093,demo,M,1
-3,12.61,0.045691112142945134,H27-16,1093,demo,M,1
-2,12.61,-0.3751621797128576,H27-16,1093,demo,M,1
-1,12.61,-0.6575325407997418,H27-16,1093,demo,M,1
0,12.61,-0.8551494301552357,H27-16,1093,demo,M,1
