Lag,variable,value,ID,exp,trial_num
-3,1.0,0.4472135954999579,H27-06,demo,1
-2,1.0,-0.158113883008419,H27-06,demo,1
-1,1.0,0.1932765007983693,H27-06,demo,1
0,1.0,0.19999999999999998,H27-06,demo,1
1,1.0,-0.21441932908296898,H27-06,demo,1
2,1.0,-0.2982580109568658,H27-06,demo,1
3,1.0,-0.4606950206815604,H27-06,demo,1
-3,2.33,0.34382786260040865,H27-06,demo,1
-2,2.33,0.15454335151067633,H27-06,demo,1
-1,2.33,0.17246497160985136,H27-06,demo,1
0,2.33,0.21745583376894304,H27-06,demo,1
1,2.33,-0.39999999999999997,H27-06,demo,1
2,2.33,-0.17817944247739673,H27-06,demo,1
3,2.33,-0.32689078000872496,H27-06,demo,1
-3,3.66,0.14167671529127782,H27-06,demo,1
-2,3.66,-0.9133254014535888,H27-06,demo,1
-1,3.66,0.055917881721648285,H27-06,demo,1
0,3.66,-0.5724550673094729,H27-06,demo,1
1,3.66,0.9963300507633941,H27-06,demo,1
2,3.66,0.4177863742936748,H27-06,demo,1
3,3.66,0.1899325519268489,H27-06,demo,1
-3,4.99,0.45262699254396116,H27-06,demo,1
-2,4.99,-0.8884900224011093,H27-06,demo,1
-1,4.99,-0.4506582952431777,H27-06,demo,1
0,4.99,-0.6821528009369844,H27-06,demo,1
1,4.99,-0.0220036471584437,H27-06,demo,1
2,4.99,0.8417871490850035,H27-06,demo,1
3,4.99,0.2560115909501232,H27-06,demo,1
-3,6.32,0.35067001046407065,H27-06,demo,1
-2,6.32,-0.37133901861750784,H27-06,demo,1
-1,6.32,-0.5299439517643717,H27-06,demo,1
0,6.32,-0.5370334525653442,H27-06,demo,1
1,6.32,-0.44852635333427865,H27-06,demo,1
2,6.32,-0.3404213515036568,H27-06,demo,1
3,6.32,0.9542738430632779,H27-06,demo,1
-3,7.65,0.09198150585199609,H27-06,demo,1
-2,7.65,-0.13642126356433848,H27-06,demo,1
-1,7.65,-0.08434653759898444,H27-06,demo,1
0,7.65,-0.5456410883108876,H27-06,demo,1
1,7.65,-0.43482081386472815,H27-06,demo,1
2,7.65,-0.35786119427580376,H27-06,demo,1
3,7.65,0.7884625826962309,H27-06,demo,1
-3,8.98,0.10965127699802214,H27-06,demo,1
-2,8.98,0.019051180064809766,H27-06,demo,1
-1,8.98,-0.061859243509312295,H27-06,demo,1
0,8.98,-0.5451438323482953,H27-06,demo,1
1,8.98,-0.44889450946269605,H27-06,demo,1
2,8.98,-0.22078235409032249,H27-06,demo,1
3,8.98,0.828621340681491,H27-06,demo,1
-3,10.31,0.6637553625287348,H27-06,demo,1
-2,10.31,0.6717589404562802,H27-06,demo,1
-1,10.31,0.4861980874287705,H27-06,demo,1
0,10.31,-0.35517384203152585,H27-06,demo,1
1,10.31,-0.4439363563811219,H27-06,demo,1
2,10.31,-0.203206864515556,H27-06,demo,1
3,10.31,0.8048017906532761,H27-06,demo,1
-3,11.64,0.39359476767211776,H27-06,demo,1
-2,11.64,0.11569318255997216,H27-06,demo,1
-1,11.64,0.33585394208187813,H27-06,demo,1
0,11.64,-0.37980580485959264,H27-06,demo,1
1,11.64,-0.39062995902912623,H27-06,demo,1
2,11.64,-0.18782571499224246,H27-06,demo,1
3,11.64,0.8590472806651939,H27-06,demo,1
-3,12.97,-0.12005763472891592,H27-06,demo,1
-2,12.97,0.017736677082193095,H27-06,demo,1
-1,12.97,0.12342314769583096,H27-06,demo,1
0,12.97,-0.1009079678061311,H27-06,demo,1
1,12.97,-0.09573405883839525,H27-06,demo,1
2,12.97,0.12077597693770911,H27-06,demo,1
3,12.97,0.8685640540472513,H27-06,demo,1
-3,14.3,-0.49037725906864127,H27-06,demo,1
-2,14.3,-0.23043227052262724,H27-06,demo,1
-1,14.3,0.06114234696077427,H27-06,demo,1
0,14.3,0.7398603837615785,H27-06,demo,1
1,14.3,0.30427477536485403,H27-06,demo,1
2,14.3,0.46233905678064124,H27-06,demo,1
3,14.3,0.5431780812504867,H27-06,demo,1
-3,15.63,-0.24053426127187727,H27-06,demo,1
-2,15.63,0.18871294597466892,H27-06,demo,1
-1,15.63,0.12388349247524517,H27-06,demo,1
0,15.63,0.7868451278739683,H27-06,demo,1
1,15.63,0.30535252232191024,H27-06,demo,1
2,15.63,0.7020634300594344,H27-06,demo,1
3,15.63,0.7416056074727609,H27-06,demo,1
-3,16.96,-0.26457060885506745,H27-06,demo,1
-2,16.96,0.7591186283434707,H27-06,demo,1
-1,16.96,0.15563682193902628,H27-06,demo,1
0,16.96,0.49895232082644136,H27-06,demo,1
1,16.96,-0.6037820904303666,H27-06,demo,1
2,16.96,0.19456513842852025,H27-06,demo,1
3,16.96,-0.22925248630105396,H27-06,demo,1
-3,18.29,0.22303249057126118,H27-06,demo,1
-2,18.29,0.5194936398595454,H27-06,demo,1
-1,18.29,-0.20797959264300586,H27-06,demo,1
0,18.29,0.4979501200729394,H27-06,demo,1
1,18.29,-0.6153388039387941,H27-06,demo,1
2,18.29,-0.5582363362127638,H27-06,demo,1
3,18.29,-0.37716003023757394,H27-06,demo,1
-3,19.62,0.2808763284045581,H27-06,demo,1
-2,19.62,0.10392464649974126,H27-06,demo,1
-1,19.62,-0.34381928600832684,H27-06,demo,1
0,19.62,0.4547663643733634,H27-06,demo,1
1,19.62,-0.6576906210446708,H27-06,demo,1
2,19.62,-0.613070158929413,H27-06,demo,1
3,19.62,-0.34318919184147656,H27-06,demo,1
