Lag,variable,value,ID,age,exp,first_trun,sex,trial_num
-3,1.0,-0.38134335676992287,H27-23,1390,demo,L,F,1
-2,1.0,-0.4451045501806453,H27-23,1390,demo,L,F,1
-1,1.0,-0.25399093483845814,H27-23,1390,demo,L,F,1
0,1.0,-0.0019044396585589957,H27-23,1390,demo,L,F,1
1,1.0,0.2798461073914604,H27-23,1390,demo,L,F,1
2,1.0,0.4967335535808322,H27-23,1390,demo,L,F,1
3,1.0,0.39076802570627683,H27-23,1390,demo,L,F,1
-3,2.9,-0.2598256398010579,H27-23,1390,demo,L,F,1
-2,2.9,-0.3316050552179619,H27-23,1390,demo,L,F,1
-1,2.9,-0.04590949377864618,H27-23,1390,demo,L,F,1
0,2.9,-0.05362752822390737,H27-23,1390,demo,L,F,1
1,2.9,0.27161146307254164,H27-23,1390,demo,L,F,1
2,2.9,0.48464090224972756,H27-23,1390,demo,L,F,1
3,2.9,0.4918772408442827,H27-23,1390,demo,L,F,1
-3,4.8,-0.06628610569409157,H27-23,1390,demo,L,F,1
-2,4.8,-0.09654232278838257,H27-23,1390,demo,L,F,1
-1,4.8,-0.08412347045876363,H27-23,1390,demo,L,F,1
0,4.8,-0.0766572062756564,H27-23,1390,demo,L,F,1
1,4.8,0.22401659244542235,H27-23,1390,demo,L,F,1
2,4.8,0.49281383946514007,H27-23,1390,demo,L,F,1
3,4.8,0.48798513084399076,H27-23,1390,demo,L,F,1
-3,6.7,-0.025263486757618588,H27-23,1390,demo,L,F,1
-2,6.7,0.051873703229177594,H27-23,1390,demo,L,F,1
-1,6.7,0.03724127493805942,H27-23,1390,demo,L,F,1
0,6.7,-0.0011214448361627567,H27-23,1390,demo,L,F,1
1,6.7,0.18102832192876683,H27-23,1390,demo,L,F,1
2,6.7,0.4514471801383048,H27-23,1390,demo,L,F,1
3,6.7,0.6167085706261738,H27-23,1390,demo,L,F,1
-3,8.6,0.09828885107482303,H27-23,1390,demo,L,F,1
-2,8.6,0.14506337749762596,H27-23,1390,demo,L,F,1
-1,8.6,0.10150234411470628,H27-23,1390,demo,L,F,1
0,8.6,0.060360711549259954,H27-23,1390,demo,L,F,1
1,8.6,0.23706646937317327,H27-23,1390,demo,L,F,1
2,8.6,0.42610157324705555,H27-23,1390,demo,L,F,1
3,8.6,0.5858483239160854,H27-23,1390,demo,L,F,1
-3,10.5,0.28804217366799806,H27-23,1390,demo,L,F,1
-2,10.5,0.2516908268514123,H27-23,1390,demo,L,F,1
-1,10.5,0.20647990458623067,H27-23,1390,demo,L,F,1
0,10.5,-0.22410604995133745,H27-23,1390,demo,L,F,1
1,10.5,0.06375957188345939,H27-23,1390,demo,L,F,1
2,10.5,0.20879184586999627,H27-23,1390,demo,L,F,1
3,10.5,0.6384015581867956,H27-23,1390,demo,L,F,1
-3,12.4,0.3680726576467047,H27-23,1390,demo,L,F,1
-2,12.4,0.32878650145897204,H27-23,1390,demo,L,F,1
-1,12.4,-0.07097438464529768,H27-23,1390,demo,L,F,1
0,12.4,-0.3831179490069289,H27-23,1390,demo,L,F,1
1,12.4,-0.18042693507013835,H27-23,1390,demo,L,F,1
2,12.4,0.06780926824794417,H27-23,1390,demo,L,F,1
