Lag,variable,value,ID,age,exp,first_trun,sex,trial_num
-3,1.0,0.05990904501040266,H27-26,1117,demo,L,F,1
-2,1.0,0.25068275533010353,H27-26,1117,demo,L,F,1
-1,1.0,0.0432782021202584,H27-26,1117,demo,L,F,1
0,1.0,-0.2008782479889419,H27-26,1117,demo,L,F,1
1,1.0,-0.2712264405153539,H27-26,1117,demo,L,F,1
2,1.0,-0.33198125418184377,H27-26,1117,demo,L,F,1
3,1.0,0.024095263306179227,H27-26,1117,demo,L,F,1
-3,2.9,0.042128454308700346,H27-26,1117,demo,L,F,1
-2,2.9,0.24663801770960292,H27-26,1117,demo,L,F,1
-1,2.9,0.022510357090309924,H27-26,1117,demo,L,F,1
0,2.9,-0.1797868362817053,H27-26,1117,demo,L,F,1
1,2.9,-0.1589943911154809,H27-26,1117,demo,L,F,1
2,2.9,-0.2465357725406417,H27-26,1117,demo,L,F,1
3,2.9,0.12890306718377506,H27-26,1117,demo,L,F,1
-3,4.8,0.022593786454788045,H27-26,1117,demo,L,F,1
-2,4.8,0.2455544836882108,H27-26,1117,demo,L,F,1
-1,4.8,0.04998587861221796,H27-26,1117,demo,L,F,1
0,4.8,-0.15906185344122015,H27-26,1117,demo,L,F,1
1,4.8,-0.13725377688746843,H27-26,1117,demo,L,F,1
2,4.8,-0.11541278146795705,H27-26,1117,demo,L,F,1
3,4.8,0.2979824611119835,H27-26,1117,demo,L,F,1
-3,6.7,0.0568195861939499,H27-26,1117,demo,L,F,1
-2,6.7,0.24610915213901932,H27-26,1117,demo,L,F,1
-1,6.7,0.042711423282104435,H27-26,1117,demo,L,F,1
0,6.7,-0.15868513184272148,H27-26,1117,demo,L,F,1
1,6.7,-0.14763856593900437,H27-26,1117,demo,L,F,1
2,6.7,-0.12583955873742286,H27-26,1117,demo,L,F,1
3,6.7,0.293617074163176,H27-26,1117,demo,L,F,1
-3,8.6,0.04968563110435634,H27-26,1117,demo,L,F,1
-2,8.6,0.2440207446412115,H27-26,1117,demo,L,F,1
-1,8.6,0.04412761718269016,H27-26,1117,demo,L,F,1
0,8.6,-0.1568247816690367,H27-26,1117,demo,L,F,1
1,8.6,-0.14650728408847968,H27-26,1117,demo,L,F,1
2,8.6,-0.13628891239118446,H27-26,1117,demo,L,F,1
3,8.6,0.2841146797172453,H27-26,1117,demo,L,F,1
-3,10.5,0.16556074911277682,H27-26,1117,demo,L,F,1
-2,10.5,0.22481801060300347,H27-26,1117,demo,L,F,1
-1,10.5,0.010918880407933379,H27-26,1117,demo,L,F,1
0,10.5,-0.30078326887872964,H27-26,1117,demo,L,F,1
1,10.5,-0.12581232731123457,H27-26,1117,demo,L,F,1
2,10.5,-0.11655847834273506,H27-26,1117,demo,L,F,1
3,10.5,0.2836211289891201,H27-26,1117,demo,L,F,1
-3,12.4,0.13927363549928745,H27-26,1117,demo,L,F,1
-2,12.4,0.20093853081013005,H27-26,1117,demo,L,F,1
-1,12.4,-0.12473690254482403,H27-26,1117,demo,L,F,1
0,12.4,-0.49822456856111,H27-26,1117,demo,L,F,1
1,12.4,-0.28113894802635797,H27-26,1117,demo,L,F,1
2,12.4,-0.09143876416068103,H27-26,1117,demo,L,F,1
3,12.4,0.3367255547151826,H27-26,1117,demo,L,F,1
-3,14.3,0.13197766756764762,H27-26,1117,demo,L,F,1
-2,14.3,0.1690772381758216,H27-26,1117,demo,L,F,1
-1,14.3,-0.18616976910296357,H27-26,1117,demo,L,F,1
0,14.3,-0.48304784596476336,H27-26,1117,demo,L,F,1
1,14.3,-0.1505855230291793,H27-26,1117,demo,L,F,1
2,14.3,0.03845566658785923,H27-26,1117,demo,L,F,1
3,14.3,0.34206704030579094,H27-26,1117,demo,L,F,1
-3,16.2,0.0932651903118976,H27-26,1117,demo,L,F,1
-2,16.2,0.12944144898970897,H27-26,1117,demo,L,F,1
-1,16.2,-0.15983075566712543,H27-26,1117,demo,L,F,1
0,16.2,-0.46740592505771883,H27-26,1117,demo,L,F,1
1,16.2,-0.12535524356108435,H27-26,1117,demo,L,F,1
2,16.2,0.21247209029582298,H27-26,1117,demo,L,F,1
3,16.2,0.525087946468515,H27-26,1117,demo,L,F,1
-3,18.1,0.34691954591262014,H27-26,1117,demo,L,F,1
-2,18.1,-0.049952070463372314,H27-26,1117,demo,L,F,1
-1,18.1,-0.4148215304899451,H27-26,1117,demo,L,F,1
0,18.1,-0.4898842927001499,H27-26,1117,demo,L,F,1
1,18.1,-0.13596261471860793,H27-26,1117,demo,L,F,1
2,18.1,0.1803733417599443,H27-26,1117,demo,L,F,1
3,18.1,0.5383512711808527,H27-26,1117,demo,L,F,1
-3,20.0,0.16853010995661064,H27-26,1117,demo,L,F,1
-2,20.0,-0.36206940981024965,H27-26,1117,demo,L,F,1
-1,20.0,-0.47413797033579064,H27-26,1117,demo,L,F,1
0,20.0,-0.57719020275549,H27-26,1117,demo,L,F,1
1,20.0,-0.14226852441242777,H27-26,1117,demo,L,F,1
2,20.0,0.15736248814526407,H27-26,1117,demo,L,F,1
3,20.0,0.4963015029979162,H27-26,1117,demo,L,F,1
-3,21.9,-0.07292813386784945,H27-26,1117,demo,L,F,1
-2,21.9,-0.4177521582209908,H27-26,1117,demo,L,F,1
-1,21.9,-0.5547146491821217,H27-26,1117,demo,L,F,1
0,21.9,-0.5968934131889646,H27-26,1117,demo,L,F,1
1,21.9,-0.07579677196482207,H27-26,1117,demo,L,F,1
2,21.9,0.25466058558603094,H27-26,1117,demo,L,F,1
3,21.9,0.45281414710801465,H27-26,1117,demo,L,F,1
-3,23.8,-0.12078197567269489,H27-26,1117,demo,L,F,1
-2,23.8,-0.564222715956556,H27-26,1117,demo,L,F,1
-1,23.8,-0.6309532977337803,H27-26,1117,demo,L,F,1
0,23.8,-0.694662885741537,H27-26,1117,demo,L,F,1
1,23.8,-0.027851030740932436,H27-26,1117,demo,L,F,1
2,23.8,0.393168912703037,H27-26,1117,demo,L,F,1
3,23.8,0.5784753770586905,H27-26,1117,demo,L,F,1
-3,25.7,-0.1935904760694875,H27-26,1117,demo,L,F,1
-2,25.7,-0.6265424476040755,H27-26,1117,demo,L,F,1
-1,25.7,-0.686146891800204,H27-26,1117,demo,L,F,1
0,25.7,-0.7612812794600984,H27-26,1117,demo,L,F,1
1,25.7,-0.6307351441276954,H27-26,1117,demo,L,F,1
2,25.7,0.0973614173412439,H27-26,1117,demo,L,F,1
3,25.7,0.34391447030209643,H27-26,1117,demo,L,F,1
-3,27.6,-0.2739403535395268,H27-26,1117,demo,L,F,1
-2,27.6,-0.6824165013866955,H27-26,1117,demo,L,F,1
-1,27.6,-0.7419700828763669,H27-26,1117,demo,L,F,1
0,27.6,-0.8742507384632702,H27-26,1117,demo,L,F,1
1,27.6,-0.7322576790307536,H27-26,1117,demo,L,F,1
2,27.6,-0.5897546636055692,H27-26,1117,demo,L,F,1
3,27.6,-0.04234397603305129,H27-26,1117,demo,L,F,1
-3,29.5,-0.33160211559210023,H27-26,1117,demo,L,F,1
-2,29.5,-0.49782172021541743,H27-26,1117,demo,L,F,1
-1,29.5,-0.5586930200549454,H27-26,1117,demo,L,F,1
0,29.5,-0.7503847715525285,H27-26,1117,demo,L,F,1
1,29.5,-0.7689430584101803,H27-26,1117,demo,L,F,1
2,29.5,-0.6284889942158298,H27-26,1117,demo,L,F,1
3,29.5,-0.5464581559515161,H27-26,1117,demo,L,F,1
-3,31.4,-0.0031731076005613768,H27-26,1117,demo,L,F,1
-2,31.4,-0.16312258283441397,H27-26,1117,demo,L,F,1
-1,31.4,-0.3392882448665509,H27-26,1117,demo,L,F,1
0,31.4,-0.5605541749769907,H27-26,1117,demo,L,F,1
1,31.4,-0.6175123202085812,H27-26,1117,demo,L,F,1
2,31.4,-0.674227432885198,H27-26,1117,demo,L,F,1
