Lag,variable,value,ID,age,exp,first_trun,sex,trial_num
-3,1.0,-0.2693333398412419,H27-25,1125,demo,L,F,1
-2,1.0,-0.45623324435690826,H27-25,1125,demo,L,F,1
-1,1.0,0.016748125528924348,H27-25,1125,demo,L,F,1
0,1.0,0.5644659889067953,H27-25,1125,demo,L,F,1
1,1.0,0.41953424772467246,H27-25,1125,demo,L,F,1
2,1.0,0.27676402935947914,H27-25,1125,demo,L,F,1
3,1.0,0.24565468574750407,H27-25,1125,demo,L,F,1
-3,2.9,-0.3128828015163451,H27-25,1125,demo,L,F,1
-2,2.9,-0.5098619926422117,H27-25,1125,demo,L,F,1
-1,2.9,-0.0054970960426023565,H27-25,1125,demo,L,F,1
0,2.9,0.5371439587866599,H27-25,1125,demo,L,F,1
1,2.9,0.3672401642220241,H27-25,1125,demo,L,F,1
2,2.9,0.2309828987644785,H27-25,1125,demo,L,F,1
3,2.9,0.24289014002987344,H27-25,1125,demo,L,F,1
-3,4.8,-0.35688198439212754,H27-25,1125,demo,L,F,1
-2,4.8,-0.5773015189079849,H27-25,1125,demo,L,F,1
-1,4.8,-0.006579938872449589,H27-25,1125,demo,L,F,1
0,4.8,0.5138055050885683,H27-25,1125,demo,L,F,1
1,4.8,0.35113050859119377,H27-25,1125,demo,L,F,1
2,4.8,0.18900593632102017,H27-25,1125,demo,L,F,1
3,4.8,0.2011108823320811,H27-25,1125,demo,L,F,1
-3,6.7,-0.41187510526326576,H27-25,1125,demo,L,F,1
-2,6.7,-0.5521468396197278,H27-25,1125,demo,L,F,1
-1,6.7,-0.008416321099851395,H27-25,1125,demo,L,F,1
0,6.7,0.5123138069180831,H27-25,1125,demo,L,F,1
1,6.7,0.3505362479898687,H27-25,1125,demo,L,F,1
2,6.7,0.18933187018325753,H27-25,1125,demo,L,F,1
3,6.7,0.21995549429379008,H27-25,1125,demo,L,F,1
-3,8.6,-0.3948959929656154,H27-25,1125,demo,L,F,1
-2,8.6,-0.5324921864177431,H27-25,1125,demo,L,F,1
