Lag,variable,value,ID,age,exp,first_trun,sex,trial_num
-3,1.0,-0.19059827205980087,H27-11,987,demo,L,M,1
-2,1.0,-0.12676380617481953,H27-11,987,demo,L,M,1
-1,1.0,0.1115009086929668,H27-11,987,demo,L,M,1
0,1.0,0.35297529242826475,H27-11,987,demo,L,M,1
1,1.0,0.6629855759477908,H27-11,987,demo,L,M,1
2,1.0,0.9641076582442064,H27-11,987,demo,L,M,1
3,1.0,0.5363816260563109,H27-11,987,demo,L,M,1
-3,2.9,-0.1496743448607167,H27-11,987,demo,L,M,1
-2,2.9,-0.0816304099232166,H27-11,987,demo,L,M,1
-1,2.9,0.15874044266396312,H27-11,987,demo,L,M,1
0,2.9,0.3907511090764454,H27-11,987,demo,L,M,1
1,2.9,0.6605177122688211,H27-11,987,demo,L,M,1
2,2.9,0.964154843268644,H27-11,987,demo,L,M,1
3,2.9,0.5310257777922074,H27-11,987,demo,L,M,1
-3,4.8,-0.1045395006890221,H27-11,987,demo,L,M,1
-2,4.8,-0.034773928322127945,H27-11,987,demo,L,M,1
-1,4.8,0.19816693020943899,H27-11,987,demo,L,M,1
0,4.8,0.42932044715011347,H27-11,987,demo,L,M,1
1,4.8,0.695755061479051,H27-11,987,demo,L,M,1
2,4.8,0.9657267361293045,H27-11,987,demo,L,M,1
3,4.8,0.5265284104972902,H27-11,987,demo,L,M,1
-3,6.7,0.03209981961625829,H27-11,987,demo,L,M,1
-2,6.7,0.07323805286638391,H27-11,987,demo,L,M,1
-1,6.7,0.38233555152509147,H27-11,987,demo,L,M,1
0,6.7,0.3631514457270076,H27-11,987,demo,L,M,1
1,6.7,0.6914939848486816,H27-11,987,demo,L,M,1
2,6.7,0.9715175429624479,H27-11,987,demo,L,M,1
3,6.7,0.6149897893492882,H27-11,987,demo,L,M,1
-3,8.6,0.5171353076308459,H27-11,987,demo,L,M,1
-2,8.6,0.6509803188794208,H27-11,987,demo,L,M,1
-1,8.6,0.4876602678897099,H27-11,987,demo,L,M,1
0,8.6,0.3182033869395036,H27-11,987,demo,L,M,1
1,8.6,0.7026744829987288,H27-11,987,demo,L,M,1
2,8.6,0.9788530000518224,H27-11,987,demo,L,M,1
3,8.6,0.6109661459217086,H27-11,987,demo,L,M,1
-3,10.5,0.5538678061760614,H27-11,987,demo,L,M,1
-2,10.5,0.6412712136326105,H27-11,987,demo,L,M,1
-1,10.5,0.4695804501644254,H27-11,987,demo,L,M,1
