Lag,variable,value,ID,age,exp,sex,trial_num
-3,1.0,-0.4050716355829133,H27-21,1117,demo,M,1
-2,1.0,-0.35630981572956777,H27-21,1117,demo,M,1
-1,1.0,-0.1879927250751161,H27-21,1117,demo,M,1
0,1.0,-0.3730424635950541,H27-21,1117,demo,M,1
1,1.0,-0.15867957685363313,H27-21,1117,demo,M,1
2,1.0,0.2388998436295419,H27-21,1117,demo,M,1
3,1.0,0.2184124900163484,H27-21,1117,demo,M,1
-3,2.82,-0.30750987049268885,H27-21,1117,demo,M,1
-2,2.82,-0.4472493924485552,H27-21,1117,demo,M,1
-1,2.82,-0.23458634135357037,H27-21,1117,demo,M,1
0,2.82,-0.49578763006168847,H27-21,1117,demo,M,1
1,2.82,-0.16292784681036837,H27-21,1117,demo,M,1
2,2.82,0.3619608864041969,H27-21,1117,demo,M,1
3,2.82,0.24323826181291394,H27-21,1117,demo,M,1
-3,4.64,-0.08980672640921786,H27-21,1117,demo,M,1
-2,4.64,-0.0023665709089893154,H27-21,1117,demo,M,1
-1,4.64,-0.4751984427667678,H27-21,1117,demo,M,1
0,4.64,-0.27046672883172074,H27-21,1117,demo,M,1
1,4.64,-0.05930019188289055,H27-21,1117,demo,M,1
2,4.64,0.1566539713151568,H27-21,1117,demo,M,1
3,4.64,0.046798111845423124,H27-21,1117,demo,M,1
-3,6.46,-0.35005947380246066,H27-21,1117,demo,M,1
-2,6.46,0.13345767582497245,H27-21,1117,demo,M,1
-1,6.46,-0.5460432723863814,H27-21,1117,demo,M,1
0,6.46,-0.40067238497963326,H27-21,1117,demo,M,1
1,6.46,0.17902788918086224,H27-21,1117,demo,M,1
2,6.46,0.3815531888167125,H27-21,1117,demo,M,1
3,6.46,0.6504734039180328,H27-21,1117,demo,M,1
-3,8.28,-0.09700094486790677,H27-21,1117,demo,M,1
-2,8.28,-0.08231808126427867,H27-21,1117,demo,M,1
-1,8.28,-0.6214402156439081,H27-21,1117,demo,M,1
0,8.28,-0.18603898090975843,H27-21,1117,demo,M,1
1,8.28,0.2839542340201576,H27-21,1117,demo,M,1
2,8.28,0.14451290785890014,H27-21,1117,demo,M,1
3,8.28,0.37160462020860024,H27-21,1117,demo,M,1
-3,10.1,-0.02433019333976127,H27-21,1117,demo,M,1
-2,10.1,0.47206473563192886,H27-21,1117,demo,M,1
-1,10.1,-0.6813667255947014,H27-21,1117,demo,M,1
0,10.1,0.2745930285205306,H27-21,1117,demo,M,1
1,10.1,0.12195003509142632,H27-21,1117,demo,M,1
2,10.1,-0.026132150376734102,H27-21,1117,demo,M,1
3,10.1,0.47824795629743116,H27-21,1117,demo,M,1
-3,11.92,0.12361878345911116,H27-21,1117,demo,M,1
-2,11.92,0.443535424901176,H27-21,1117,demo,M,1
-1,11.92,-0.5254418412435697,H27-21,1117,demo,M,1
0,11.92,0.3766420541130109,H27-21,1117,demo,M,1
1,11.92,0.4147975714998679,H27-21,1117,demo,M,1
2,11.92,-0.13443126542979844,H27-21,1117,demo,M,1
3,11.92,0.29173591035063745,H27-21,1117,demo,M,1
-3,13.74,0.28164453455222804,H27-21,1117,demo,M,1
-2,13.74,0.19272598824048096,H27-21,1117,demo,M,1
-1,13.74,-0.5958164999752625,H27-21,1117,demo,M,1
0,13.74,0.30881352288074987,H27-21,1117,demo,M,1
1,13.74,0.32813657862495216,H27-21,1117,demo,M,1
2,13.74,-0.18647737940241055,H27-21,1117,demo,M,1
3,13.74,0.17111313978537165,H27-21,1117,demo,M,1
-3,15.56,0.0803100798247165,H27-21,1117,demo,M,1
-2,15.56,0.03482111749937823,H27-21,1117,demo,M,1
-1,15.56,-0.6355616641364288,H27-21,1117,demo,M,1
0,15.56,0.2770339486206062,H27-21,1117,demo,M,1
1,15.56,0.2893180433136442,H27-21,1117,demo,M,1
2,15.56,-0.18814979413430494,H27-21,1117,demo,M,1
3,15.56,0.1553215312322996,H27-21,1117,demo,M,1
-3,17.38,0.05031517299781689,H27-21,1117,demo,M,1
-2,17.38,0.016196719950962547,H27-21,1117,demo,M,1
-1,17.38,-0.6366495218770518,H27-21,1117,demo,M,1
0,17.38,0.2834800695809718,H27-21,1117,demo,M,1
1,17.38,0.25637368991316045,H27-21,1117,demo,M,1
2,17.38,-0.2746350926126909,H27-21,1117,demo,M,1
3,17.38,-0.025806325404943462,H27-21,1117,demo,M,1
-3,19.2,0.12136292241033751,H27-21,1117,demo,M,1
-2,19.2,0.021410845426353305,H27-21,1117,demo,M,1
-1,19.2,-0.6228460291909679,H27-21,1117,demo,M,1
0,19.2,0.08403792767893574,H27-21,1117,demo,M,1
1,19.2,0.24107849960421973,H27-21,1117,demo,M,1
2,19.2,0.04664774848148905,H27-21,1117,demo,M,1
3,19.2,0.25715063167879676,H27-21,1117,demo,M,1
