Lag,variable,value,ID,age,exp,first_trun,sex,trial_num
-1,23.8,-0.3401397397462569,H27-07,933,demo,L,F,1
0,23.8,-0.4718341435288294,H27-07,933,demo,L,F,1
1,23.8,-0.6068283689563678,H27-07,933,demo,L,F,1
2,23.8,-0.7435115220045194,H27-07,933,demo,L,F,1
3,23.8,-0.36250792619004674,H27-07,933,demo,L,F,1
-3,25.7,-0.2864710106940937,H27-07,933,demo,L,F,1
-2,25.7,-0.23572132554450154,H27-07,933,demo,L,F,1
-1,25.7,-0.3727744354057342,H27-07,933,demo,L,F,1
0,25.7,-0.5255572540941932,H27-07,933,demo,L,F,1
1,25.7,-0.6373367082939033,H27-07,933,demo,L,F,1
2,25.7,-0.7708290878599295,H27-07,933,demo,L,F,1
3,25.7,-0.397393756908693,H27-07,933,demo,L,F,1
-3,27.6,-0.3212377312331397,H27-07,933,demo,L,F,1
-2,27.6,-0.27289746647762003,H27-07,933,demo,L,F,1
-1,27.6,-0.42999835095440936,H27-07,933,demo,L,F,1
0,27.6,-0.5812723280574592,H27-07,933,demo,L,F,1
1,27.6,-0.6900708710314213,H27-07,933,demo,L,F,1
2,27.6,-0.7979906402688989,H27-07,933,demo,L,F,1
3,27.6,-0.4211037473032293,H27-07,933,demo,L,F,1
-3,29.5,-0.3973281225858804,H27-07,933,demo,L,F,1
-2,29.5,-0.2941711180215222,H27-07,933,demo,L,F,1
-1,29.5,-0.449313177760686,H27-07,933,demo,L,F,1
0,29.5,-0.559282339286184,H27-07,933,demo,L,F,1
1,29.5,-0.7022294828133877,H27-07,933,demo,L,F,1
2,29.5,-0.8107871755492069,H27-07,933,demo,L,F,1
3,29.5,-0.3797119206441065,H27-07,933,demo,L,F,1
-3,31.4,-0.42518023128745724,H27-07,933,demo,L,F,1
-2,31.4,-0.3062899791903607,H27-07,933,demo,L,F,1
-1,31.4,-0.4260081072315425,H27-07,933,demo,L,F,1
0,31.4,-0.5463896822993133,H27-07,933,demo,L,F,1
1,31.4,-0.6878088588098017,H27-07,933,demo,L,F,1
2,31.4,-0.8238686821685108,H27-07,933,demo,L,F,1
3,31.4,-0.3897153299085346,H27-07,933,demo,L,F,1
-3,33.3,-0.45642638616246567,H27-07,933,demo,L,F,1
-2,33.3,-0.2685896678255151,H27-07,933,demo,L,F,1
-1,33.3,-0.40355356235964346,H27-07,933,demo,L,F,1
0,33.3,-0.4303582926789878,H27-07,933,demo,L,F,1
1,33.3,-0.6177103154597363,H27-07,933,demo,L,F,1
2,33.3,-0.795697465565485,H27-07,933,demo,L,F,1
3,33.3,-0.5897363822300036,H27-07,933,demo,L,F,1
-3,35.2,-0.46486111560379306,H27-07,933,demo,L,F,1
-2,35.2,-0.23106000304116409,H27-07,933,demo,L,F,1
-1,35.2,-0.20054395144445025,H27-07,933,demo,L,F,1
