Lag,variable,value,ID,age,exp,sex,trial_num
-3,1.0,-0.45434671571783874,H27-24,1080,demo,F,1
-2,1.0,-0.45309560741036975,H27-24,1080,demo,F,1
-1,1.0,-0.4201239063333406,H27-24,1080,demo,F,1
0,1.0,-0.36334852863676037,H27-24,1080,demo,F,1
1,1.0,-0.15521930267408304,H27-24,1080,demo,F,1
2,1.0,-0.3623209935090708,H27-24,1080,demo,F,1
3,1.0,-0.0038149041058105106,H27-24,1080,demo,F,1
-3,2.82,-0.26393914581740485,H27-24,1080,demo,F,1
-2,2.82,-0.2630276931138215,H27-24,1080,demo,F,1
-1,2.82,-0.06415325955279741,H27-24,1080,demo,F,1
0,2.82,-0.35174060693807324,H27-24,1080,demo,F,1
1,2.82,-0.41741530975854046,H27-24,1080,demo,F,1
2,2.82,-0.5262597952390495,H27-24,1080,demo,F,1
3,2.82,-0.052024319607302916,H27-24,1080,demo,F,1
-3,4.64,-0.2336795807101638,H27-24,1080,demo,F,1
-2,4.64,-0.3213233448802197,H27-24,1080,demo,F,1
-1,4.64,-0.048307323366197454,H27-24,1080,demo,F,1
0,4.64,-0.4498735749599361,H27-24,1080,demo,F,1
1,4.64,-0.6850535528846725,H27-24,1080,demo,F,1
2,4.64,-0.17003966211225877,H27-24,1080,demo,F,1
3,4.64,0.2928797748110651,H27-24,1080,demo,F,1
-3,6.46,0.3923011507206944,H27-24,1080,demo,F,1
-2,6.46,-0.32007156230559597,H27-24,1080,demo,F,1
-1,6.46,-0.1617188522619339,H27-24,1080,demo,F,1
0,6.46,-0.17577263209847693,H27-24,1080,demo,F,1
1,6.46,-0.6850535528846724,H27-24,1080,demo,F,1
2,6.46,-0.04014595716918362,H27-24,1080,demo,F,1
3,6.46,-0.02453308557838546,H27-24,1080,demo,F,1
-3,8.28,0.405634113092551,H27-24,1080,demo,F,1
-2,8.28,-0.3281910101972545,H27-24,1080,demo,F,1
-1,8.28,0.00838923740263992,H27-24,1080,demo,F,1
0,8.28,-0.01610523740672548,H27-24,1080,demo,F,1
1,8.28,-0.44497303061493226,H27-24,1080,demo,F,1
2,8.28,-0.04991044731201724,H27-24,1080,demo,F,1
3,8.28,0.07883381607233819,H27-24,1080,demo,F,1
-3,10.1,-0.0028322848427321788,H27-24,1080,demo,F,1
-2,10.1,-0.18435599521784363,H27-24,1080,demo,F,1
-1,10.1,0.16484839683964841,H27-24,1080,demo,F,1
0,10.1,-0.22936837087999357,H27-24,1080,demo,F,1
1,10.1,-0.38571400012454055,H27-24,1080,demo,F,1
2,10.1,-0.030293197243534572,H27-24,1080,demo,F,1
3,10.1,0.02072981833314173,H27-24,1080,demo,F,1
-3,11.92,0.01290729541204134,H27-24,1080,demo,F,1
-2,11.92,-0.19998226429199092,H27-24,1080,demo,F,1
-1,11.92,-0.003898968839602646,H27-24,1080,demo,F,1
0,11.92,-0.22328790101521795,H27-24,1080,demo,F,1
1,11.92,-0.5096536815903097,H27-24,1080,demo,F,1
2,11.92,-0.05739700046222126,H27-24,1080,demo,F,1
3,11.92,-0.023963717878689342,H27-24,1080,demo,F,1
-3,13.74,-0.16999030550338615,H27-24,1080,demo,F,1
-2,13.74,-0.05675086331283478,H27-24,1080,demo,F,1
-1,13.74,0.02039781850012392,H27-24,1080,demo,F,1
0,13.74,-0.26431733004892144,H27-24,1080,demo,F,1
1,13.74,-0.5064724634136301,H27-24,1080,demo,F,1
2,13.74,-0.09061320191226954,H27-24,1080,demo,F,1
3,13.74,-0.04970768313282922,H27-24,1080,demo,F,1
-3,15.56,-0.036918572370177434,H27-24,1080,demo,F,1
-2,15.56,-0.06484679612725985,H27-24,1080,demo,F,1
-1,15.56,0.012152520921789384,H27-24,1080,demo,F,1
0,15.56,-0.26431733004892144,H27-24,1080,demo,F,1
1,15.56,-0.34786591138622397,H27-24,1080,demo,F,1
2,15.56,-0.11000040726869778,H27-24,1080,demo,F,1
3,15.56,-0.3334101147284791,H27-24,1080,demo,F,1
-3,17.38,-0.04505786773161714,H27-24,1080,demo,F,1
-2,17.38,-0.07291512553073687,H27-24,1080,demo,F,1
-1,17.38,0.012152520921789384,H27-24,1080,demo,F,1
0,17.38,-0.1585454076979248,H27-24,1080,demo,F,1
1,17.38,-0.23839886395603688,H27-24,1080,demo,F,1
2,17.38,-0.01335730541044783,H27-24,1080,demo,F,1
3,17.38,-0.44449219033644277,H27-24,1080,demo,F,1
-3,19.2,-0.003747979142532885,H27-24,1080,demo,F,1
-2,19.2,0.23012591935152624,H27-24,1080,demo,F,1
-1,19.2,-0.06892184129103184,H27-24,1080,demo,F,1
0,19.2,-0.09189565493774768,H27-24,1080,demo,F,1
1,19.2,-0.0396441727776167,H27-24,1080,demo,F,1
2,19.2,0.21854266674047576,H27-24,1080,demo,F,1
3,19.2,-0.06296427441150887,H27-24,1080,demo,F,1
