Lag,variable,value,ID,age,exp,sex,trial_num
-3,1.0,-0.8602846293858807,H27-05,909,demo,F,1
-2,1.0,-0.8017782653454919,H27-05,909,demo,F,1
-1,1.0,-0.6887300034211191,H27-05,909,demo,F,1
0,1.0,-0.7629521713958641,H27-05,909,demo,F,1
1,1.0,0.17278392348681687,H27-05,909,demo,F,1
2,1.0,0.5374681491727168,H27-05,909,demo,F,1
3,1.0,0.6069000482727316,H27-05,909,demo,F,1
-3,2.29,-0.2556926009007793,H27-05,909,demo,F,1
-2,2.29,-0.243002826288083,H27-05,909,demo,F,1
-1,2.29,-0.1723241709571394,H27-05,909,demo,F,1
0,2.29,-0.588548265374026,H27-05,909,demo,F,1
1,2.29,-0.7037461968241278,H27-05,909,demo,F,1
2,2.29,0.3173492485423644,H27-05,909,demo,F,1
3,2.29,0.4589087847029135,H27-05,909,demo,F,1
-3,3.58,0.085386846019314,H27-05,909,demo,F,1
-2,3.58,0.17821445919723647,H27-05,909,demo,F,1
-1,3.58,-0.13901766860027212,H27-05,909,demo,F,1
0,3.58,-0.6117665461285253,H27-05,909,demo,F,1
1,3.58,-0.6079784815571752,H27-05,909,demo,F,1
2,3.58,-0.6660070576532069,H27-05,909,demo,F,1
3,3.58,0.0907945446366582,H27-05,909,demo,F,1
-3,4.87,0.5602858943422356,H27-05,909,demo,F,1
-2,4.87,0.19773059307174468,H27-05,909,demo,F,1
-1,4.87,-0.16097415106728527,H27-05,909,demo,F,1
0,4.87,-0.6350915665529778,H27-05,909,demo,F,1
1,4.87,-0.6117665461285253,H27-05,909,demo,F,1
2,4.87,-0.6079784815571752,H27-05,909,demo,F,1
3,4.87,-0.2641062470004095,H27-05,909,demo,F,1
-3,6.16,0.5958531825916851,H27-05,909,demo,F,1
-2,6.16,0.21080937210633963,H27-05,909,demo,F,1
-1,6.16,-0.22750714415436704,H27-05,909,demo,F,1
0,6.16,-0.6658236604150738,H27-05,909,demo,F,1
1,6.16,-0.6350915665529777,H27-05,909,demo,F,1
2,6.16,-0.6117665461285254,H27-05,909,demo,F,1
3,6.16,-0.31447162839164217,H27-05,909,demo,F,1
-3,7.45,0.539422109730817,H27-05,909,demo,F,1
-2,7.45,0.13090034322113817,H27-05,909,demo,F,1
-1,7.45,-0.3242167441371245,H27-05,909,demo,F,1
0,7.45,-0.7793338314953869,H27-05,909,demo,F,1
1,7.45,-0.6658236604150738,H27-05,909,demo,F,1
2,7.45,-0.6350915665529777,H27-05,909,demo,F,1
3,7.45,-0.36565356780095765,H27-05,909,demo,F,1
