Lag,variable,value,ID,age,exp,first_trun,sex,trial_num
-3,1.0,-0.2732221209767822,H27-11,987,demo,L,M,1
-2,1.0,-0.1348376589418529,H27-11,987,demo,L,M,1
-1,1.0,-0.005645052621389941,H27-11,987,demo,L,M,1
0,1.0,0.42198420911760526,H27-11,987,demo,L,M,1
1,1.0,0.9452772371378207,H27-11,987,demo,L,M,1
2,1.0,0.17231350362469106,H27-11,987,demo,L,M,1
3,1.0,-0.2282600318804618,H27-11,987,demo,L,M,1
-3,11.0,-0.24037562314300084,H27-11,987,demo,L,M,1
-2,11.0,-0.0945384615663171,H27-11,987,demo,L,M,1
-1,11.0,0.04369182021923122,H27-11,987,demo,L,M,1
0,11.0,0.4612504204145187,H27-11,987,demo,L,M,1
1,11.0,0.9499210720758674,H27-11,987,demo,L,M,1
2,11.0,0.16428195806891296,H27-11,987,demo,L,M,1
3,11.0,-0.2415340651701465,H27-11,987,demo,L,M,1
