Lag,variable,value,ID,age,exp,first_trun,sex,trial_num
-3,1.0,0.11748705128860903,H27-23,1390,demo,L,F,1
-2,1.0,-0.02113082794218207,H27-23,1390,demo,L,F,1
-1,1.0,0.018955527802819762,H27-23,1390,demo,L,F,1
0,1.0,-0.2898720321894284,H27-23,1390,demo,L,F,1
1,1.0,0.07811105189911076,H27-23,1390,demo,L,F,1
2,1.0,0.27502459880489055,H27-23,1390,demo,L,F,1
3,1.0,0.08707562643915967,H27-23,1390,demo,L,F,1
-3,11.0,0.3004823001025572,H27-23,1390,demo,L,F,1
-2,11.0,0.18940715281486015,H27-23,1390,demo,L,F,1
-1,11.0,0.344770614818532,H27-23,1390,demo,L,F,1
0,11.0,-0.31716434161045337,H27-23,1390,demo,L,F,1
1,11.0,0.06296870227540326,H27-23,1390,demo,L,F,1
2,11.0,0.2736541565912011,H27-23,1390,demo,L,F,1
3,11.0,0.07922321479907996,H27-23,1390,demo,L,F,1
