Lag,variable,value,ID,age,exp,first_trun,sex,trial_num
-3,1.0,0.13404137731779356,H27-12,1123,demo,L,M,1
-2,1.0,-0.07408755529137473,H27-12,1123,demo,L,M,1
-1,1.0,-0.12094546371164715,H27-12,1123,demo,L,M,1
0,1.0,-0.21356776744967065,H27-12,1123,demo,L,M,1
1,1.0,-0.2634702535253901,H27-12,1123,demo,L,M,1
2,1.0,-0.31683249916560013,H27-12,1123,demo,L,M,1
3,1.0,-0.3728334101607658,H27-12,1123,demo,L,M,1
-3,11.0,0.14916286625402767,H27-12,1123,demo,L,M,1
-2,11.0,-0.07912174945162366,H27-12,1123,demo,L,M,1
-1,11.0,-0.11240303644039465,H27-12,1123,demo,L,M,1
0,11.0,-0.23319804747505515,H27-12,1123,demo,L,M,1
1,11.0,-0.21756542707126972,H27-12,1123,demo,L,M,1
2,11.0,-0.2851546839584644,H27-12,1123,demo,L,M,1
3,11.0,-0.343893751185826,H27-12,1123,demo,L,M,1
