Lag,variable,value,ID,age,exp,sex,trial_num
-3,17.77,0.4675748994751117,H27-14,957,indivi,M,1
-2,17.77,0.11938082539790079,H27-14,957,indivi,M,1
-1,17.77,-0.20394224338808056,H27-14,957,indivi,M,1
0,17.77,0.017457106636727455,H27-14,957,indivi,M,1
1,17.77,-0.2822781205221781,H27-14,957,indivi,M,1
2,17.77,-0.2725770729267001,H27-14,957,indivi,M,1
3,17.77,0.01231754445256592,H27-14,957,indivi,M,1
-3,19.06,0.4675748994751117,H27-14,957,indivi,M,1
-2,19.06,0.11938082539790078,H27-14,957,indivi,M,1
-1,19.06,0.2957826747128541,H27-14,957,indivi,M,1
0,19.06,0.527265312174062,H27-14,957,indivi,M,1
1,19.06,0.20394224338808062,H27-14,957,indivi,M,1
2,19.06,-0.11938082539790083,H27-14,957,indivi,M,1
3,19.06,0.13347869541883975,H27-14,957,indivi,M,1
-3,20.35,0.5100793003505661,H27-14,957,indivi,M,1
-2,20.35,0.28141570412756595,H27-14,957,indivi,M,1
-1,20.35,0.4433399526411463,H27-14,957,indivi,M,1
0,20.35,0.44333995264114623,H27-14,957,indivi,M,1
1,20.35,0.2039422433880806,H27-14,957,indivi,M,1
2,20.35,-0.11938082539790082,H27-14,957,indivi,M,1
3,20.35,0.20394224338808054,H27-14,957,indivi,M,1
-3,21.64,0.5527498073088951,H27-14,957,indivi,M,1
-2,21.64,0.37203266590216233,H27-14,957,indivi,M,1
-1,21.64,0.37203266590216233,H27-14,957,indivi,M,1
0,21.64,0.37203266590216233,H27-14,957,indivi,M,1
1,21.64,0.13347869541883972,H27-14,957,indivi,M,1
2,21.64,-0.11938082539790083,H27-14,957,indivi,M,1
3,21.64,0.20394224338808056,H27-14,957,indivi,M,1
-3,22.93,0.29888696549061106,H27-14,957,indivi,M,1
-2,22.93,0.298886965490611,H27-14,957,indivi,M,1
-1,22.93,0.2988869654906111,H27-14,957,indivi,M,1
0,22.93,0.29888696549061106,H27-14,957,indivi,M,1
1,22.93,0.06975612485665544,H27-14,957,indivi,M,1
2,22.93,-0.17638256180346676,H27-14,957,indivi,M,1
3,22.93,0.2039422433880806,H27-14,957,indivi,M,1
