Lag,variable,value,ID,age,exp,first_turn,sex,trial_num
0,2.54,0.48794848707976207,H27-28,1310,indivi,R,F,3
1,2.54,-0.6863658116870422,H27-28,1310,indivi,R,F,3
-1,4.08,-0.018409396561578955,H27-28,1310,indivi,R,F,3
0,4.08,0.4772601454460557,H27-28,1310,indivi,R,F,3
1,4.08,-0.17315906089124583,H27-28,1310,indivi,R,F,3
-1,5.62,0.29017825934363717,H27-28,1310,indivi,R,F,3
0,5.62,0.1988386693566585,H27-28,1310,indivi,R,F,3
1,5.62,-0.21399780939662047,H27-28,1310,indivi,R,F,3
-1,7.16,0.27875862630708914,H27-28,1310,indivi,R,F,3
0,7.16,-0.037860384856614734,H27-28,1310,indivi,R,F,3
1,7.16,-0.2808363303540983,H27-28,1310,indivi,R,F,3
-1,8.7,0.6005254433891358,H27-28,1310,indivi,R,F,3
0,8.7,0.19677556986177505,H27-28,1310,indivi,R,F,3
1,8.7,-0.24176998370211933,H27-28,1310,indivi,R,F,3
-1,10.24,0.7698000868671786,H27-28,1310,indivi,R,F,3
0,10.24,0.17612204084663785,H27-28,1310,indivi,R,F,3
1,10.24,-0.1298900051243952,H27-28,1310,indivi,R,F,3
-1,11.78,0.7446248715617566,H27-28,1310,indivi,R,F,3
0,11.78,0.22365120109245706,H27-28,1310,indivi,R,F,3
1,11.78,-0.17477145745747014,H27-28,1310,indivi,R,F,3
-1,13.32,0.26204634075852684,H27-28,1310,indivi,R,F,3
0,13.32,-0.17011232269713644,H27-28,1310,indivi,R,F,3
1,13.32,-0.08734878025284235,H27-28,1310,indivi,R,F,3
-1,14.86,0.20653447333645658,H27-28,1310,indivi,R,F,3
0,14.86,0.2014263125949295,H27-28,1310,indivi,R,F,3
1,14.86,-0.8097258672214356,H27-28,1310,indivi,R,F,3
-1,16.4,0.30146047389802066,H27-28,1310,indivi,R,F,3
0,16.4,0.17257819539109379,H27-28,1310,indivi,R,F,3
1,16.4,-0.7927293943244248,H27-28,1310,indivi,R,F,3
-1,17.94,0.32046834231305776,H27-28,1310,indivi,R,F,3
0,17.94,0.3388475769722551,H27-28,1310,indivi,R,F,3
1,17.94,-0.5175665269078061,H27-28,1310,indivi,R,F,3
-1,19.48,0.3125411803329089,H27-28,1310,indivi,R,F,3
0,19.48,0.44456143476994486,H27-28,1310,indivi,R,F,3
1,19.48,-0.38742025367094496,H27-28,1310,indivi,R,F,3
-1,1.0,-0.03145231631565119,H27-28,1310,indivi,L,F,4
0,1.0,-0.3420553356994863,H27-28,1310,indivi,L,F,4
1,1.0,0.017534286487082724,H27-28,1310,indivi,L,F,4
-1,2.54,0.005908792356620106,H27-28,1310,indivi,L,F,4
0,2.54,-0.29495128788418157,H27-28,1310,indivi,L,F,4
1,2.54,0.2733182712396959,H27-28,1310,indivi,L,F,4
-1,4.08,0.35100969285298655,H27-28,1310,indivi,L,F,4
0,4.08,0.37748949964951617,H27-28,1310,indivi,L,F,4
1,4.08,0.18501760130601924,H27-28,1310,indivi,L,F,4
-1,5.62,0.48673266234975715,H27-28,1310,indivi,L,F,4
0,5.62,0.5879663942803703,H27-28,1310,indivi,L,F,4
1,5.62,0.5316070745663585,H27-28,1310,indivi,L,F,4
-1,7.16,0.6275796060532394,H27-28,1310,indivi,L,F,4
0,7.16,0.3939633159931831,H27-28,1310,indivi,L,F,4
1,7.16,0.370325826121397,H27-28,1310,indivi,L,F,4
-1,8.7,0.7303076927210502,H27-28,1310,indivi,L,F,4
0,8.7,0.4715518932629555,H27-28,1310,indivi,L,F,4
1,8.7,0.2980739291498794,H27-28,1310,indivi,L,F,4
-1,10.24,0.7406569119927647,H27-28,1310,indivi,L,F,4
0,10.24,0.47508423551444734,H27-28,1310,indivi,L,F,4
1,10.24,0.33655889083253826,H27-28,1310,indivi,L,F,4
-1,11.78,0.9019686199261108,H27-28,1310,indivi,L,F,4
0,11.78,0.45968242932528847,H27-28,1310,indivi,L,F,4
1,11.78,-0.021613508718276112,H27-28,1310,indivi,L,F,4
-1,13.32,0.6844637598690227,H27-28,1310,indivi,L,F,4
0,13.32,0.5764258526740104,H27-28,1310,indivi,L,F,4
1,13.32,0.05242522670565432,H27-28,1310,indivi,L,F,4
-1,14.86,0.6952744773571794,H27-28,1310,indivi,L,F,4
0,14.86,0.7618396324653642,H27-28,1310,indivi,L,F,4
1,14.86,0.3829447244975845,H27-28,1310,indivi,L,F,4
-1,16.4,0.6945976142188457,H27-28,1310,indivi,L,F,4
0,16.4,0.5209400993646299,H27-28,1310,indivi,L,F,4
1,16.4,-0.05419429575477843,H27-28,1310,indivi,L,F,4
