Lag,variable,value,ID,age,exp,first_trun,sex,trial_num
-3,1.0,0.15413958901003177,H27-02,916,demo,L,M,1
-2,1.0,-0.3987245105091089,H27-02,916,demo,L,M,1
-1,1.0,-0.17993027634473108,H27-02,916,demo,L,M,1
0,1.0,-0.5798499512392734,H27-02,916,demo,L,M,1
1,1.0,0.08926945864926217,H27-02,916,demo,L,M,1
2,1.0,0.5249362039684188,H27-02,916,demo,L,M,1
3,1.0,0.3869988969378153,H27-02,916,demo,L,M,1
-3,11.0,0.17733730286139923,H27-02,916,demo,L,M,1
-2,11.0,-0.45035008157082734,H27-02,916,demo,L,M,1
-1,11.0,-0.23768749464075276,H27-02,916,demo,L,M,1
0,11.0,-0.568544224395779,H27-02,916,demo,L,M,1
1,11.0,0.055801185118753024,H27-02,916,demo,L,M,1
2,11.0,0.5302593146779111,H27-02,916,demo,L,M,1
3,11.0,0.37848224993864,H27-02,916,demo,L,M,1
-3,1.0,-0.31674417653035125,H27-27,1320,demo,L,F,1
-2,1.0,0.021860420227089943,H27-27,1320,demo,L,F,1
-1,1.0,-0.0792870087824974,H27-27,1320,demo,L,F,1
0,1.0,0.12430181318259634,H27-27,1320,demo,L,F,1
1,1.0,-0.4907641194961299,H27-27,1320,demo,L,F,1
2,1.0,-0.7112693321113494,H27-27,1320,demo,L,F,1
3,1.0,-0.531741095622281,H27-27,1320,demo,L,F,1
-3,11.0,-0.257385278227844,H27-27,1320,demo,L,F,1
-2,11.0,0.1398179505367562,H27-27,1320,demo,L,F,1
-1,11.0,0.11242365954965838,H27-27,1320,demo,L,F,1
0,11.0,0.0011511674333856187,H27-27,1320,demo,L,F,1
1,11.0,0.0827011047990507,H27-27,1320,demo,L,F,1
2,11.0,-0.531467368753429,H27-27,1320,demo,L,F,1
3,11.0,-0.30159660247934006,H27-27,1320,demo,L,F,1
-3,1.0,0.06815917095263305,H27-20,1375,demo,L,F,1
-2,1.0,-0.05326849133014691,H27-20,1375,demo,L,F,1
-1,1.0,-0.03142638245141613,H27-20,1375,demo,L,F,1
0,1.0,0.1216700480156269,H27-20,1375,demo,L,F,1
1,1.0,-0.12305617482758768,H27-20,1375,demo,L,F,1
2,1.0,-0.09589480300015833,H27-20,1375,demo,L,F,1
3,1.0,-0.35809513858462033,H27-20,1375,demo,L,F,1
-3,11.0,0.10265335347801036,H27-20,1375,demo,L,F,1
-2,11.0,-0.07391520530228311,H27-20,1375,demo,L,F,1
-1,11.0,0.08335225806400241,H27-20,1375,demo,L,F,1
0,11.0,0.17118402401976704,H27-20,1375,demo,L,F,1
1,11.0,0.15680223027043105,H27-20,1375,demo,L,F,1
2,11.0,0.1088835440952185,H27-20,1375,demo,L,F,1
3,11.0,-0.23371160831419946,H27-20,1375,demo,L,F,1
-3,1.0,0.050593583847421957,H27-01,1357,demo,L,M,1
-2,1.0,-0.14823324232773813,H27-01,1357,demo,L,M,1
-1,1.0,0.22613231435545003,H27-01,1357,demo,L,M,1
0,1.0,-0.09500008652728198,H27-01,1357,demo,L,M,1
1,1.0,0.1401455685775998,H27-01,1357,demo,L,M,1
2,1.0,0.039775512734857674,H27-01,1357,demo,L,M,1
3,1.0,0.010150205021070715,H27-01,1357,demo,L,M,1
-3,11.0,0.06135138614358357,H27-01,1357,demo,L,M,1
-2,11.0,-0.18996254826327308,H27-01,1357,demo,L,M,1
-1,11.0,0.45865472008305774,H27-01,1357,demo,L,M,1
0,11.0,-0.08171068702523579,H27-01,1357,demo,L,M,1
1,11.0,0.09779834108309558,H27-01,1357,demo,L,M,1
2,11.0,0.00071803552910503,H27-01,1357,demo,L,M,1
3,11.0,-0.05388906993175724,H27-01,1357,demo,L,M,1
-3,1.0,0.22860464608819692,H27-05,909,demo,L,F,1
-2,1.0,0.10752081126274399,H27-05,909,demo,L,F,1
-1,1.0,-0.06731822986378555,H27-05,909,demo,L,F,1
0,1.0,-0.38737901387924156,H27-05,909,demo,L,F,1
1,1.0,-0.05948039966746023,H27-05,909,demo,L,F,1
2,1.0,0.04377616622645593,H27-05,909,demo,L,F,1
3,1.0,0.2393189960879559,H27-05,909,demo,L,F,1
-3,11.0,0.30144541684628545,H27-05,909,demo,L,F,1
-2,11.0,0.16554822754625464,H27-05,909,demo,L,F,1
-1,11.0,-0.030592371561570984,H27-05,909,demo,L,F,1
0,11.0,-0.3958166612844802,H27-05,909,demo,L,F,1
1,11.0,-0.5795631333380225,H27-05,909,demo,L,F,1
2,11.0,-0.24355891591650738,H27-05,909,demo,L,F,1
3,11.0,0.05337772575401266,H27-05,909,demo,L,F,1
-3,1.0,0.0038048706735821806,H27-07,933,demo,L,F,1
-2,1.0,-0.10291044174589663,H27-07,933,demo,L,F,1
-1,1.0,0.005999525314891417,H27-07,933,demo,L,F,1
0,1.0,-0.14771497153813604,H27-07,933,demo,L,F,1
1,1.0,-0.09391458864592168,H27-07,933,demo,L,F,1
2,1.0,-0.2625181704354124,H27-07,933,demo,L,F,1
3,1.0,-0.42343234147367653,H27-07,933,demo,L,F,1
-3,11.0,0.004527014414250591,H27-07,933,demo,L,F,1
-2,11.0,-0.08303189189321446,H27-07,933,demo,L,F,1
-1,11.0,0.06340474611746723,H27-07,933,demo,L,F,1
0,11.0,-0.09343857322574171,H27-07,933,demo,L,F,1
1,11.0,-0.3724242332602422,H27-07,933,demo,L,F,1
2,11.0,-0.45891596863148865,H27-07,933,demo,L,F,1
3,11.0,-0.5904033653092424,H27-07,933,demo,L,F,1
-3,1.0,-0.2732221209767822,H27-11,987,demo,L,M,1
-2,1.0,-0.1348376589418529,H27-11,987,demo,L,M,1
-1,1.0,-0.005645052621389941,H27-11,987,demo,L,M,1
0,1.0,0.42198420911760526,H27-11,987,demo,L,M,1
1,1.0,0.9452772371378207,H27-11,987,demo,L,M,1
2,1.0,0.17231350362469106,H27-11,987,demo,L,M,1
3,1.0,-0.2282600318804618,H27-11,987,demo,L,M,1
-3,11.0,-0.24037562314300084,H27-11,987,demo,L,M,1
-2,11.0,-0.0945384615663171,H27-11,987,demo,L,M,1
-1,11.0,0.04369182021923122,H27-11,987,demo,L,M,1
0,11.0,0.4612504204145187,H27-11,987,demo,L,M,1
1,11.0,0.9499210720758674,H27-11,987,demo,L,M,1
2,11.0,0.16428195806891296,H27-11,987,demo,L,M,1
3,11.0,-0.2415340651701465,H27-11,987,demo,L,M,1
-3,1.0,0.06059511342620248,H27-22,1101,demo,L,F,1
-2,1.0,-0.08407103131513806,H27-22,1101,demo,L,F,1
-1,1.0,0.3273206126182411,H27-22,1101,demo,L,F,1
0,1.0,0.15426030321294557,H27-22,1101,demo,L,F,1
1,1.0,-0.2937028797509882,H27-22,1101,demo,L,F,1
2,1.0,-0.20754655893640206,H27-22,1101,demo,L,F,1
3,1.0,-0.2617155389521369,H27-22,1101,demo,L,F,1
-3,11.0,-0.12170492550275322,H27-22,1101,demo,L,F,1
-2,11.0,-0.2893955304495851,H27-22,1101,demo,L,F,1
-1,11.0,0.216679361962255,H27-22,1101,demo,L,F,1
0,11.0,0.21352312609866905,H27-22,1101,demo,L,F,1
1,11.0,-0.2718886422617341,H27-22,1101,demo,L,F,1
2,11.0,-0.19860475416840082,H27-22,1101,demo,L,F,1
3,11.0,-0.250223867004612,H27-22,1101,demo,L,F,1
-3,1.0,-0.4306247291645579,H27-08,945,demo,L,F,1
-2,1.0,-0.4482274451475048,H27-08,945,demo,L,F,1
-1,1.0,-0.5020886739959617,H27-08,945,demo,L,F,1
0,1.0,-0.3642709136949045,H27-08,945,demo,L,F,1
1,1.0,-0.014246202695164908,H27-08,945,demo,L,F,1
2,1.0,0.0032250836658558285,H27-08,945,demo,L,F,1
3,1.0,-0.08814720978736035,H27-08,945,demo,L,F,1
-3,11.0,-0.2322983709465059,H27-08,945,demo,L,F,1
-2,11.0,-0.2207548311416871,H27-08,945,demo,L,F,1
-1,11.0,-0.20131252356420523,H27-08,945,demo,L,F,1
0,11.0,-0.35944563633873233,H27-08,945,demo,L,F,1
1,11.0,-0.010797728118589178,H27-08,945,demo,L,F,1
2,11.0,0.0018769732955537946,H27-08,945,demo,L,F,1
3,11.0,-0.10873583502209691,H27-08,945,demo,L,F,1
-3,1.0,0.11748705128860903,H27-23,1390,demo,L,F,1
-2,1.0,-0.02113082794218207,H27-23,1390,demo,L,F,1
-1,1.0,0.018955527802819762,H27-23,1390,demo,L,F,1
0,1.0,-0.2898720321894284,H27-23,1390,demo,L,F,1
1,1.0,0.07811105189911076,H27-23,1390,demo,L,F,1
2,1.0,0.27502459880489055,H27-23,1390,demo,L,F,1
3,1.0,0.08707562643915967,H27-23,1390,demo,L,F,1
-3,11.0,0.3004823001025572,H27-23,1390,demo,L,F,1
-2,11.0,0.18940715281486015,H27-23,1390,demo,L,F,1
-1,11.0,0.344770614818532,H27-23,1390,demo,L,F,1
0,11.0,-0.31716434161045337,H27-23,1390,demo,L,F,1
1,11.0,0.06296870227540326,H27-23,1390,demo,L,F,1
2,11.0,0.2736541565912011,H27-23,1390,demo,L,F,1
3,11.0,0.07922321479907996,H27-23,1390,demo,L,F,1
-3,1.0,0.3335896566636009,H27-25,1125,demo,L,F,1
-2,1.0,-0.08523795251644324,H27-25,1125,demo,L,F,1
-1,1.0,-0.39595643559742333,H27-25,1125,demo,L,F,1
0,1.0,0.3475659541475519,H27-25,1125,demo,L,F,1
1,1.0,0.13646398124883666,H27-25,1125,demo,L,F,1
2,1.0,0.18023603509818892,H27-25,1125,demo,L,F,1
3,1.0,-0.10277099910985048,H27-25,1125,demo,L,F,1
-3,11.0,0.32820578500914266,H27-25,1125,demo,L,F,1
-2,11.0,-0.12046870251851814,H27-25,1125,demo,L,F,1
-1,11.0,-0.46299600419265047,H27-25,1125,demo,L,F,1
0,11.0,0.3587233661470365,H27-25,1125,demo,L,F,1
1,11.0,0.1938367818057866,H27-25,1125,demo,L,F,1
2,11.0,0.22680191596578342,H27-25,1125,demo,L,F,1
3,11.0,-0.06171588943480518,H27-25,1125,demo,L,F,1
-3,1.0,0.13404137731779356,H27-12,1123,demo,L,M,1
-2,1.0,-0.07408755529137473,H27-12,1123,demo,L,M,1
-1,1.0,-0.12094546371164715,H27-12,1123,demo,L,M,1
0,1.0,-0.21356776744967065,H27-12,1123,demo,L,M,1
1,1.0,-0.2634702535253901,H27-12,1123,demo,L,M,1
2,1.0,-0.31683249916560013,H27-12,1123,demo,L,M,1
3,1.0,-0.3728334101607658,H27-12,1123,demo,L,M,1
-3,11.0,0.14916286625402767,H27-12,1123,demo,L,M,1
-2,11.0,-0.07912174945162366,H27-12,1123,demo,L,M,1
-1,11.0,-0.11240303644039465,H27-12,1123,demo,L,M,1
0,11.0,-0.23319804747505515,H27-12,1123,demo,L,M,1
1,11.0,-0.21756542707126972,H27-12,1123,demo,L,M,1
2,11.0,-0.2851546839584644,H27-12,1123,demo,L,M,1
3,11.0,-0.343893751185826,H27-12,1123,demo,L,M,1
-3,1.0,-0.4403508216490753,H27-24,1080,demo,L,F,1
-2,1.0,-0.4093906424581372,H27-24,1080,demo,L,F,1
-1,1.0,-0.3541364788264536,H27-24,1080,demo,L,F,1
0,1.0,-0.13530577238053784,H27-24,1080,demo,L,F,1
1,1.0,-0.12239874736300194,H27-24,1080,demo,L,F,1
2,1.0,-0.2559810759165722,H27-24,1080,demo,L,F,1
3,1.0,-0.09542660353928792,H27-24,1080,demo,L,F,1
-3,11.0,-0.2858544217684653,H27-24,1080,demo,L,F,1
-2,11.0,-0.18667764455862393,H27-24,1080,demo,L,F,1
-1,11.0,-0.06945220283257858,H27-24,1080,demo,L,F,1
0,11.0,-0.18084347957715757,H27-24,1080,demo,L,F,1
1,11.0,-0.11641949649437965,H27-24,1080,demo,L,F,1
2,11.0,-0.2740316916992745,H27-24,1080,demo,L,F,1
3,11.0,-0.08571308686044526,H27-24,1080,demo,L,F,1
-3,1.0,-0.08039699076565937,H27-26,1117,demo,L,F,1
-2,1.0,-0.10548670259764988,H27-26,1117,demo,L,F,1
-1,1.0,0.14840502597696736,H27-26,1117,demo,L,F,1
0,1.0,-0.2112943767222406,H27-26,1117,demo,L,F,1
1,1.0,-0.34264041792597044,H27-26,1117,demo,L,F,1
2,1.0,0.07189915917069546,H27-26,1117,demo,L,F,1
3,1.0,0.011926664190141852,H27-26,1117,demo,L,F,1
-3,11.0,-0.09031982144286814,H27-26,1117,demo,L,F,1
-2,11.0,-0.11657567644895316,H27-26,1117,demo,L,F,1
-1,11.0,0.14487191668607713,H27-26,1117,demo,L,F,1
0,11.0,-0.1590880903848729,H27-26,1117,demo,L,F,1
1,11.0,-0.1518155959154076,H27-26,1117,demo,L,F,1
2,11.0,0.34285834925648684,H27-26,1117,demo,L,F,1
3,11.0,0.18378138400430308,H27-26,1117,demo,L,F,1
-3,1.0,0.04367295707198189,H27-04,1360,demo,L,F,1
-2,1.0,-0.07855784401353387,H27-04,1360,demo,L,F,1
-1,1.0,-0.16979251924750619,H27-04,1360,demo,L,F,1
0,1.0,-0.4744782868368435,H27-04,1360,demo,L,F,1
1,1.0,-0.3840902865295284,H27-04,1360,demo,L,F,1
2,1.0,-0.2739456385476504,H27-04,1360,demo,L,F,1
3,1.0,-0.25635421174348166,H27-04,1360,demo,L,F,1
-3,11.0,0.08738808252899077,H27-04,1360,demo,L,F,1
-2,11.0,-0.07493895410875634,H27-04,1360,demo,L,F,1
-1,11.0,-0.1878517365750714,H27-04,1360,demo,L,F,1
0,11.0,-0.518326321389806,H27-04,1360,demo,L,F,1
1,11.0,-0.26191223954509,H27-04,1360,demo,L,F,1
2,11.0,-0.13682466708947977,H27-04,1360,demo,L,F,1
3,11.0,-0.13609598190110467,H27-04,1360,demo,L,F,1
-3,1.0,0.29413573356954237,H27-17,1360,demo,L,M,1
-2,1.0,0.03171455602958651,H27-17,1360,demo,L,M,1
-1,1.0,0.03367169086444113,H27-17,1360,demo,L,M,1
0,1.0,-0.00510105294435882,H27-17,1360,demo,L,M,1
1,1.0,-0.8095494057201774,H27-17,1360,demo,L,M,1
2,1.0,-0.614021491398212,H27-17,1360,demo,L,M,1
3,1.0,-0.5064911185547905,H27-17,1360,demo,L,M,1
-3,11.0,0.29671023967429067,H27-17,1360,demo,L,M,1
-2,11.0,0.03338256802346507,H27-17,1360,demo,L,M,1
-1,11.0,0.03537177502206709,H27-17,1360,demo,L,M,1
0,11.0,-0.5857036431664987,H27-17,1360,demo,L,M,1
1,11.0,-0.5717706049590138,H27-17,1360,demo,L,M,1
2,11.0,-0.21410129153624535,H27-17,1360,demo,L,M,1
3,11.0,-0.14045876859939088,H27-17,1360,demo,L,M,1
-3,1.0,0.5022138827549275,H27-10,1356,demo,L,F,1
-2,1.0,-0.017937863212463826,H27-10,1356,demo,L,F,1
-1,1.0,-0.13311863631819384,H27-10,1356,demo,L,F,1
0,1.0,0.39041538500143236,H27-10,1356,demo,L,F,1
1,1.0,-0.35796637506353723,H27-10,1356,demo,L,F,1
2,1.0,-0.178361305009944,H27-10,1356,demo,L,F,1
3,1.0,-0.0043369320594028645,H27-10,1356,demo,L,F,1
-3,11.0,0.6297300262756493,H27-10,1356,demo,L,F,1
-2,11.0,0.0708191384625397,H27-10,1356,demo,L,F,1
-1,11.0,-0.05213699888576956,H27-10,1356,demo,L,F,1
0,11.0,0.27913684579449805,H27-10,1356,demo,L,F,1
1,11.0,-0.22802865051144477,H27-10,1356,demo,L,F,1
2,11.0,-0.03611300965369548,H27-10,1356,demo,L,F,1
3,11.0,0.14689771476833327,H27-10,1356,demo,L,F,1
-3,1.0,0.3936016545324746,H27-06,966,demo,L,F,1
-2,1.0,0.487564845585167,H27-06,966,demo,L,F,1
-1,1.0,0.3138635930341969,H27-06,966,demo,L,F,1
0,1.0,0.2756272331061,H27-06,966,demo,L,F,1
1,1.0,0.021842352868527773,H27-06,966,demo,L,F,1
2,1.0,0.12203372075161022,H27-06,966,demo,L,F,1
3,1.0,0.45317486581778166,H27-06,966,demo,L,F,1
-3,11.0,0.4835731950531406,H27-06,966,demo,L,F,1
-2,11.0,0.42205382493688637,H27-06,966,demo,L,F,1
-1,11.0,0.1905570541475995,H27-06,966,demo,L,F,1
0,11.0,0.23077738836216158,H27-06,966,demo,L,F,1
1,11.0,-0.12694765639369235,H27-06,966,demo,L,F,1
2,11.0,0.019521273713862954,H27-06,966,demo,L,F,1
3,11.0,0.31146748230080346,H27-06,966,demo,L,F,1
-3,1.0,-0.07114580875567926,H27-09,1083,demo,L,F,1
-2,1.0,-0.3066850048100859,H27-09,1083,demo,L,F,1
-1,1.0,-0.4763231559689197,H27-09,1083,demo,L,F,1
0,1.0,0.151950230694152,H27-09,1083,demo,L,F,1
1,1.0,-0.12694693588102524,H27-09,1083,demo,L,F,1
2,1.0,-0.25901478776472525,H27-09,1083,demo,L,F,1
3,1.0,-0.20224916751771319,H27-09,1083,demo,L,F,1
-3,11.0,-0.025162437710815874,H27-09,1083,demo,L,F,1
-2,11.0,-0.27145749430671123,H27-09,1083,demo,L,F,1
-1,11.0,-0.4412553511568405,H27-09,1083,demo,L,F,1
0,11.0,0.02594981952000653,H27-09,1083,demo,L,F,1
1,11.0,0.36355996488409786,H27-09,1083,demo,L,F,1
2,11.0,0.04804360442989884,H27-09,1083,demo,L,F,1
3,11.0,0.10256280448708854,H27-09,1083,demo,L,F,1
-3,1.0,-0.09565990436942977,H27-19,1394,demo,L,M,1
-2,1.0,0.007631512576231977,H27-19,1394,demo,L,M,1
-1,1.0,-0.01809150859152131,H27-19,1394,demo,L,M,1
0,1.0,-0.11443582833033175,H27-19,1394,demo,L,M,1
1,1.0,-0.08839737581003014,H27-19,1394,demo,L,M,1
2,1.0,-0.43656888169106955,H27-19,1394,demo,L,M,1
