Lag,variable,value,ID,age,cnt,exp,first_turn,sex,trial_num
0,1,0.25777585460617136,H27-03,930,21,demo,L,F,1
1,1,0.4300759760463304,H27-03,930,20,demo,L,F,1
-1,1,0.9890594738378419,H27-17,1360,20,demo,L,M,1
0,1,0.8333360976856813,H27-17,1360,21,demo,L,M,1
1,1,0.03555508299831087,H27-17,1360,20,demo,L,M,1
-1,1,0.9567718278372307,H27-11,987,16,demo,L,M,1
0,1,0.3920804102994116,H27-11,987,17,demo,L,M,1
1,1,-0.03431998685813194,H27-11,987,16,demo,L,M,1
-1,1,0.6997621600749977,H27-31,1101,17,demo,L,M,1
0,1,0.7451519698970185,H27-31,1101,18,demo,L,M,1
1,1,0.6281529037702387,H27-31,1101,17,demo,L,M,1
-1,1,0.7483554125512856,H27-14,957,20,demo,L,M,1
0,1,0.9437360060331087,H27-14,957,21,demo,L,M,1
1,1,0.5763218564041891,H27-14,957,20,demo,L,M,1
-1,1,0.005484179366991937,H27-23,1390,20,demo,L,F,1
0,1,0.8707770745426718,H27-23,1390,21,demo,L,F,1
1,1,0.35388667937869467,H27-23,1390,20,demo,L,F,1
-1,1,-0.09643742405780936,H27-24,1080,20,demo,L,F,1
0,1,0.3210654972080215,H27-24,1080,21,demo,L,F,1
1,1,0.3757400159720901,H27-24,1080,20,demo,L,F,1
-1,1,0.046336836460182954,H27-02,916,20,demo,L,M,1
0,1,-0.5636467657366152,H27-02,916,21,demo,L,M,1
1,1,-0.2251305056248229,H27-02,916,20,demo,L,M,1
